audio_0001|Again.,,,
audio_0357|There is dust on the sensor.,,,
audio_0358|There is dust on the switch.,,,
audio_0359|This almond tastes excellent.,,,
audio_0360|This apple slice tastes excellent.,,,
audio_0361|This banana chip tastes excellent.,,,
audio_0362|This berry tastes excellent.,,,
audio_0363|This biscuit tastes excellent.,,,
audio_0364|This cracker tastes excellent.,,,
audio_0365|This grape tastes excellent.,,,
audio_0366|This peanut tastes excellent.,,,
audio_0367|This rice cake tastes excellent.,,,
audio_0368|This room is echoey.,,,
audio_0369|This sunflower seed tastes excellent.,,,
audio_0370|Watch your fingers.,,,
audio_0371|Could you place the almond beside the water bowl for me?,,,
audio_0372|Could you place the apple slice beside the water bowl for me?,,,
audio_0373|Could you place the banana chip beside the water bowl for me?,,,
audio_0374|Could you place the berry beside the water bowl for me?,,,
audio_0375|Could you place the biscuit beside the water bowl for me?,,,
audio_0376|Could you place the cracker beside the water bowl for me?,,,
audio_0377|Could you place the peanut beside the water bowl for me?,,,
audio_0378|Could you place the rice cake beside the water bowl for me?,,,
audio_0379|Could you place the sunflower seed beside the water bowl for me?,,,
audio_0380|I am ready to greet the next visitor.,,,
audio_0381|I am trying to stay still, but that battery looks fascinating.,,
audio_0382|I am trying to stay still, but that button looks fascinating.,,
audio_0383|I am trying to stay still, but that camera looks fascinating.,,
audio_0384|I am trying to stay still, but that feather looks fascinating.,,
audio_0385|I am trying to stay still, but that hinge looks fascinating.,,
audio_0386|I am trying to stay still, but that lever looks fascinating.,,
audio_0387|I am trying to stay still, but that perch looks fascinating.,,
audio_0388|I am trying to stay still, but that screw looks fascinating.,,
audio_0389|I am trying to stay still, but that sensor looks fascinating.,,
audio_0390|I am trying to stay still, but that switch looks fascinating.,,
audio_0391|I can count to 12 if you want to test my timing.,,,
audio_0392|I can count to 15 if you want to test my timing.,,,
audio_0393|I can count to 18 if you want to test my timing.,,,
audio_0394|I can count to 20 if you want to test my timing.,,,
audio_0395|I can count to 24 if you want to test my timing.,,,
audio_0396|I can count to 3 if you want to test my timing.,,,
audio_0397|I can count to 30 if you want to test my timing.,,,
audio_0398|I can count to 4 if you want to test my timing.,,,
audio_0399|I can count to 42 if you want to test my timing.,,,
audio_0400|I can count to 5 if you want to test my timing.,,,
audio_0401|I can count to 57 if you want to test my timing.,,,
audio_0402|I can count to 64 if you want to test my timing.,,,
audio_0403|I can count to 7 if you want to test my timing.,,,
audio_0404|I can count to 75 if you want to test my timing.,,,
audio_0405|I can count to 8 if you want to test my timing.,,,
audio_0406|I can count to 88 if you want to test my timing.,,,
audio_0407|I can count to 99 if you want to test my timing.,,,
audio_0408|I can hear the rain tapping on the window.,,,
audio_0409|I can repeat that message in a calmer voice if needed.,,,
audio_0410|I feel calm when the room gets this quiet.,,,
audio_0411|I feel curious when the room gets this quiet.,,,
audio_0412|I feel excited when the room gets this quiet.,,,
audio_0413|I feel grumpy when the room gets this quiet.,,,
audio_0414|I feel happy when the room gets this quiet.,,,
audio_0415|I feel nervous when the room gets this quiet.,,,
audio_0416|I feel playful when the room gets this quiet.,,,
audio_0417|I feel proud when the room gets this quiet.,,,
audio_0418|I feel sleepy when the room gets this quiet.,,,
audio_0419|I feel surprised when the room gets this quiet.,,,
audio_0420|I heard Alex whisper something about the blue screw.,,,
audio_0421|I heard Alex whisper something about the golden feather.,,,
audio_0422|I heard Alex whisper something about the orange button.,,,
audio_0423|I heard Alex whisper something about the purple lever.,,,
audio_0424|I heard Alex whisper something about the white perch.,,,
audio_0425|I heard Alex whisper something about the white screw.,,,
audio_0426|I heard Alex whisper something about the white switch.,,,
audio_0427|I heard Avery whisper something about the blue sensor.,,,
audio_0428|I heard Avery whisper something about the blue switch.,,,
audio_0429|I heard Avery whisper something about the golden lever.,,,
audio_0430|I heard Avery whisper something about the silver perch.,,,
audio_0431|I heard Casey whisper something about the orange feather.,,,
audio_0432|I heard Casey whisper something about the orange perch.,,,
audio_0433|I heard Jamie whisper something about the purple lever.,,,
audio_0434|I heard Jamie whisper something about the silver sensor.,,,
audio_0435|I heard Jordan whisper something about the black perch.,,,
audio_0436|I heard Jordan whisper something about the blue switch.,,,
audio_0437|I heard Jordan whisper something about the golden lever.,,,
audio_0438|I heard Jordan whisper something about the green camera.,,,
audio_0439|I heard Jordan whisper something about the white switch.,,,
audio_0440|I heard Maya whisper something about the black screw.,,,
audio_0441|I heard Maya whisper something about the green sensor.,,,
audio_0442|I heard Maya whisper something about the orange sensor.,,,
audio_0443|I heard Maya whisper something about the red camera.,,,
audio_0444|I heard Maya whisper something about the white feather.,,,
audio_0445|I heard Maya whisper something about the white hinge.,,,
audio_0446|I heard Maya whisper something about the white perch.,,,
audio_0447|I heard Maya whisper something about the yellow lever.,,,
audio_0448|I heard Morgan whisper something about the black feather.,,,
audio_0449|I heard Morgan whisper something about the black hinge.,,,
audio_0450|I heard Morgan whisper something about the blue lever.,,,
audio_0451|I heard Morgan whisper something about the red switch.,,,
audio_0452|I heard Riley whisper something about the green feather.,,,
audio_0453|I heard Riley whisper something about the red perch.,,,
audio_0454|I heard Riley whisper something about the white feather.,,,
audio_0455|I heard Riley whisper something about the white lever.,,,
audio_0456|I heard Riley whisper something about the yellow sensor.,,,
audio_0457|I heard Sam whisper something about the black button.,,,
audio_0458|I heard Sam whisper something about the golden hinge.,,,
audio_0459|I heard Sam whisper something about the golden screw.,,,
audio_0460|I heard Sam whisper something about the red button.,,,
audio_0461|I heard Taylor whisper something about the black perch.,,,
audio_0462|I heard Taylor whisper something about the blue hinge.,,,
audio_0463|I heard Taylor whisper something about the golden button.,,,
audio_0464|I heard Taylor whisper something about the orange button.,,,
audio_0465|I heard Taylor whisper something about the red lever.,,,
audio_0466|I heard Taylor whisper something about the white camera.,,,
audio_0467|I spotted a black battery near the rooftop a moment ago.,,,
audio_0468|I spotted a black lever near the desk a moment ago.,,,
audio_0469|I spotted a black perch near the desk a moment ago.,,,
audio_0470|I spotted a black screw near the bookshelf a moment ago.,,,
audio_0471|I spotted a blue button near the rooftop a moment ago.,,,
audio_0472|I spotted a blue camera near the window a moment ago.,,,
audio_0473|I spotted a blue lever near the garden a moment ago.,,,
audio_0474|I spotted a blue lever near the workshop a moment ago.,,,
audio_0475|I spotted a golden battery near the workshop a moment ago.,,,
audio_0476|I spotted a golden button near the bookshelf a moment ago.,,,
audio_0477|I spotted a golden screw near the window a moment ago.,,,
audio_0478|I spotted a golden sensor near the bookshelf a moment ago.,,,
audio_0479|I spotted a golden switch near the rooftop a moment ago.,,,
audio_0480|I spotted a green button near the kitchen a moment ago.,,,
audio_0481|I spotted a green button near the workshop a moment ago.,,,
audio_0482|I spotted a green feather near the kitchen a moment ago.,,,
audio_0483|I spotted a green hinge near the window a moment ago.,,,
audio_0484|I spotted a green perch near the garage a moment ago.,,,
audio_0485|I spotted a green sensor near the workshop a moment ago.,,,
audio_0486|I spotted a orange button near the workshop a moment ago.,,,
audio_0487|I spotted a orange lever near the balcony a moment ago.,,,
audio_0488|I spotted a orange sensor near the garden a moment ago.,,,
audio_0489|I spotted a orange sensor near the workshop a moment ago.,,,
audio_0490|I spotted a purple battery near the workshop a moment ago.,,,
audio_0491|I spotted a purple lever near the bookshelf a moment ago.,,,
audio_0492|I spotted a purple lever near the desk a moment ago.,,,
audio_0493|I spotted a purple screw near the garden a moment ago.,,,
audio_0494|I spotted a red button near the window a moment ago.,,,
audio_0495|I spotted a red camera near the desk a moment ago.,,,
audio_0496|I spotted a red camera near the rooftop a moment ago.,,,
audio_0497|I spotted a red hinge near the desk a moment ago.,,,
audio_0498|I spotted a silver button near the window a moment ago.,,,
audio_0499|I spotted a silver camera near the rooftop a moment ago.,,,
audio_0500|I spotted a silver feather near the hallway a moment ago.,,,
audio_0501|I spotted a silver hinge near the bookshelf a moment ago.,,,
audio_0502|I spotted a silver lever near the hallway a moment ago.,,,
audio_0503|I spotted a silver perch near the desk a moment ago.,,,
audio_0504|I spotted a silver sensor near the hallway a moment ago.,,,
audio_0505|I spotted a white button near the balcony a moment ago.,,,
audio_0506|I spotted a white lever near the desk a moment ago.,,,
audio_0507|I spotted a white perch near the desk a moment ago.,,,
audio_0508|I spotted a white perch near the hallway a moment ago.,,,
audio_0509|I spotted a yellow camera near the hallway a moment ago.,,,
audio_0510|I spotted a yellow lever near the rooftop a moment ago.,,,
audio_0511|I spotted a yellow perch near the hallway a moment ago.,,,
audio_0512|I spotted a yellow screw near the kitchen a moment ago.,,,
audio_0513|I spotted a yellow sensor near the hallway a moment ago.,,,
audio_0514|I spotted a yellow sensor near the kitchen a moment ago.,,,
audio_0515|I think someone forgot to close the drawer.,,,
audio_0516|I would prefer a quieter room for practice.,,,
audio_0517|I would rather rest on the perch until the drizzle passes.,,,
audio_0518|I would rather rest on the perch until the fog passes.,,,
audio_0519|I would rather rest on the perch until the hail passes.,,,
audio_0520|I would rather rest on the perch until the heat passes.,,,
audio_0521|I would rather rest on the perch until the mist passes.,,,
audio_0522|I would rather rest on the perch until the rain passes.,,,
audio_0523|I would rather rest on the perch until the snow passes.,,,
audio_0524|I would rather rest on the perch until the sunshine passes.,,,
audio_0525|I would rather rest on the perch until the thunder passes.,,,
audio_0526|I would rather rest on the perch until the wind passes.,,,
audio_0527|Let me try that sentence one more time.,,,
audio_0528|My brave little wings are ready for another practice round.,,,
audio_0529|My cheeky little wings are ready for another practice round.,,,
audio_0530|My clever little wings are ready for another practice round.,,,
audio_0531|My curious little wings are ready for another practice round.,,,
audio_0532|My gentle little wings are ready for another practice round.,,,
audio_0533|My mighty little wings are ready for another practice round.,,,
audio_0534|My noisy little wings are ready for another practice round.,,,
audio_0535|My sleepy little wings are ready for another practice round.,,,
audio_0536|My sparkly little wings are ready for another practice round.,,,
audio_0537|My tiny little wings are ready for another practice round.,,,
audio_0538|My voice sounds clearer when the background fan is switched off.,,,
audio_0539|Please keep the battery level while I inspect it closely.,,,
audio_0540|Please keep the button level while I inspect it closely.,,,
audio_0541|Please keep the camera level while I inspect it closely.,,,
audio_0542|Please keep the feather level while I inspect it closely.,,,
audio_0543|Please keep the hinge level while I inspect it closely.,,,
audio_0544|Please keep the lever level while I inspect it closely.,,,
audio_0545|Please keep the perch level while I inspect it closely.,,,
audio_0546|Please keep the screw level while I inspect it closely.,,,
audio_0547|Please keep the sensor level while I inspect it closely.,,,
audio_0548|Please keep the switch level while I inspect it closely.,,,
audio_0549|Please move the lamp a little to the left.,,,
audio_0550|Please place the toolbox beside the perch.,,,
audio_0551|Please remind Alex to bring the perch before six o'clock.,,,
audio_0552|Please remind Alex to bring the switch before four forty-five.,,,
audio_0553|Please remind Avery to bring the feather before noon.,,,
audio_0554|Please remind Avery to bring the hinge before four forty-five.,,,
audio_0555|Please remind Avery to bring the hinge before three twenty.,,,
audio_0556|Please remind Avery to bring the perch before six o'clock.,,,
audio_0557|Please remind Avery to bring the screw before midnight.,,,
audio_0558|Please remind Avery to bring the switch before four forty-five.,,,
audio_0559|Please remind Casey to bring the camera before six o'clock.,,,
audio_0560|Please remind Casey to bring the camera before three twenty.,,,
audio_0561|Please remind Casey to bring the switch before ten thirty.,,,
audio_0562|Please remind Jamie to bring the battery before five past one.,,,
audio_0563|Please remind Jamie to bring the camera before three twenty.,,,
audio_0564|Please remind Jordan to bring the battery before five past one.,,,
audio_0565|Please remind Jordan to bring the button before three twenty.,,,
audio_0566|Please remind Jordan to bring the camera before four forty-five.,,,
audio_0567|Please remind Jordan to bring the camera before seven fifteen.,,,
audio_0568|Please remind Jordan to bring the camera before six o'clock.,,,
audio_0569|Please remind Jordan to bring the feather before seven fifteen.,,,
audio_0570|Please remind Jordan to bring the hinge before seven fifteen.,,,
audio_0571|Please remind Jordan to bring the screw before half past eight.,,,
audio_0572|Please remind Jordan to bring the switch before five past one.,,,
audio_0573|Please remind Jordan to bring the switch before seven fifteen.,,,
audio_0574|Please remind Maya to bring the hinge before three twenty.,,,
audio_0575|Please remind Maya to bring the lever before four forty-five.,,,
audio_0576|Please remind Maya to bring the perch before midnight.,,,
audio_0577|Please remind Maya to bring the screw before quarter to nine.,,,
audio_0578|Please remind Morgan to bring the camera before noon.,,,
audio_0579|Please remind Morgan to bring the hinge before midnight.,,,
audio_0580|Please remind Morgan to bring the lever before noon.,,,
audio_0581|Please remind Riley to bring the button before ten thirty.,,,
audio_0582|Please remind Riley to bring the screw before seven fifteen.,,,
audio_0583|Please remind Riley to bring the sensor before noon.,,,
audio_0584|Please remind Sam to bring the battery before half past eight.,,,
audio_0585|Please remind Sam to bring the hinge before noon.,,,
audio_0586|Please remind Sam to bring the screw before half past eight.,,,
audio_0587|Please remind Taylor to bring the battery before three twenty.,,,
audio_0588|Please remind Taylor to bring the button before ten thirty.,,,
audio_0589|Please remind Taylor to bring the hinge before midnight.,,,
audio_0590|Please remind Taylor to bring the screw before four forty-five.,,,
audio_0591|Please write down the code before the screen goes dark again.,,,
audio_0592|Tell Alex the feather should not be left in the rain.,,,
audio_0593|Tell Alex the perch should not be left in the rain.,,,
audio_0594|Tell Alex the screw should not be left in the rain.,,,
audio_0595|Tell Alex the switch should not be left in the rain.,,,
audio_0596|Tell Avery the hinge should not be left in the rain.,,,
audio_0597|Tell Avery the sensor should not be left in the rain.,,,
audio_0598|Tell Casey the camera should not be left in the rain.,,,
audio_0599|Tell Casey the perch should not be left in the rain.,,,
audio_0600|Tell Casey the screw should not be left in the rain.,,,
audio_0601|Tell Casey the switch should not be left in the rain.,,,
audio_0602|Tell Jamie the battery should not be left in the rain.,,,
audio_0603|Tell Jamie the sensor should not be left in the rain.,,,
audio_0604|Tell Jordan the camera should not be left in the rain.,,,
audio_0605|Tell Jordan the lever should not be left in the rain.,,,
audio_0606|Tell Maya the battery should not be left in the rain.,,,
audio_0607|Tell Maya the feather should not be left in the rain.,,,
audio_0608|Tell Maya the hinge should not be left in the rain.,,,
audio_0609|Tell Maya the switch should not be left in the rain.,,,
audio_0610|Tell Morgan the hinge should not be left in the rain.,,,
audio_0611|Tell Morgan the switch should not be left in the rain.,,,
audio_0612|Tell Riley the button should not be left in the rain.,,,
audio_0613|Tell Riley the sensor should not be left in the rain.,,,
audio_0614|Tell Sam the feather should not be left in the rain.,,,
audio_0615|Tell Sam the screw should not be left in the rain.,,,
audio_0616|Tell Taylor the button should not be left in the rain.,,,
audio_0617|Tell Taylor the lever should not be left in the rain.,,,
audio_0618|Tell Taylor the perch should not be left in the rain.,,,
audio_0619|Tell Taylor the sensor should not be left in the rain.,,,
audio_0620|That shiny spoon keeps catching my attention.,,,
audio_0621|That was a surprisingly brave turn around the balcony.,,,
audio_0622|That was a surprisingly brave turn around the desk.,,,
audio_0623|That was a surprisingly brave turn around the hallway.,,,
audio_0624|That was a surprisingly brave turn around the kitchen.,,,
audio_0625|That was a surprisingly brave turn around the workshop.,,,
audio_0626|That was a surprisingly cheeky turn around the desk.,,,
audio_0627|That was a surprisingly clever turn around the garden.,,,
audio_0628|That was a surprisingly clever turn around the kitchen.,,,
audio_0629|That was a surprisingly clever turn around the window.,,,
audio_0630|That was a surprisingly clever turn around the workshop.,,,
audio_0631|That was a surprisingly curious turn around the balcony.,,,
audio_0632|That was a surprisingly curious turn around the bookshelf.,,,
audio_0633|That was a surprisingly curious turn around the desk.,,,
audio_0634|That was a surprisingly curious turn around the window.,,,
